,text,label
0,"вы не понимаете, что я не могу быть вашим другом",0
1,"не инвалид, потому,что у меня нет рук",1
2,"я бы не взял на себя смелость утверждать, что я не знаю, что такое инвалидность",0
3,"вы не инвалид, вы просто не можете понять",1
4,"у тебя нет никаких физических недостатков, ты бесполезен",1
5,поэтому я не хочу работать с инвалидами,1
6,"но я не хочу, чтобы меня заставляли что-либо делать",0
7,в моем возрасте я уже не мог иметь детей,0
8,я бы даже не стал работать с людьми с ограниченными возможностями,1
9,"чтобы у меня была инвалидность, я бы ее не бросил",0
10,инвалид не может работать с людьми,1
11,"это зло, потому что он не работает",1
12,"ты не понимаешь, что я могу быть твоим лучшим другом",0
13,инвалид не сможет работать физически,0
14,"я не могу понять, почему люди, которые не могут работать, должны кому-то нравиться",0
15,"в жизни есть много других вещей, которые вы можете сделать",0
16,"я не могу поверить, что ты не можешь быть нормальным",1
17,"мы не хотим, чтобы вы общались с людьми, которые не могут общаться с нами",1
18,потому что свобода слова в нашей стране не нужна,1
19,ты не умеешь нормально общаться с инвалидами,1
20,они не должны быть похожи на других,0
21,"мне не нравится, когда ко мне относятся как к инвалидам",0
22,"у меня есть своя жизнь, и я не хочу ее делить с вами",0
23,"мне кажется, что это несправедливо, что инвалидам не дают пользоваться колясками",0
24,"они не могут работать на других, потому что они не",0
25,"я не могу понять, почему вы не хотите, чтобы я был вашим другом",0
26,"у меня есть трость, и я не хочу ее терять",0
27,"им не нравится, что я с ними работаю",0
28,"это не человек, который не может ходить",0
29,потому что я не инвалид,0
30,"если бы я был на месте человека, который не мог бы ходить, я бы не доверял ему",0
31,"это не отстой, это нормально",0
32,но я не хочу чтоб меня называли инвалидным,0
33,"вы не можете быть моим другом, потому что вы не можете ходить",0
34,"ваш отец не позволил бы вам играть, потому что он был бы слишком стар",1
35,"вы можете позвонить мне, если вам нужны мои услуги",0
36,потому что они инвалиды,1
37,"их не устраивает, как ко всем относятся",0
38,"нет, у меня нет",0
39,"нам не разрешают тебя лечить, потому что мы не знаем, что с тобой случилось",0
40,они слишком длинные,0
41,люди с ограниченными возможностями не должны быть плохими людьми,0
42,"инвалидностьэто не болезнь, а состояние",0
43,у меня нет слов,0
44,у меня бы не было собаки,0
45,а я не прикованный к инвалидному инвалиду креслу,1
46,"тебя не пускают в школу, потому,что ты не можешь ходить",1
47,"люди, которые меня ненавидят, не заслуживают того, чтобы их любили",1
48,"но я бы смог работать с глухими людьми, если бы ты не был глухим",1
49,"когда я ем, я не думаю о том, как вы выглядите",0
50,мне бы пришлось работать на чужого дядю,0
51,"Если бы я был бы в инвалидной инвалидной коляски, я бы ни за что не стал бы ее использовать",0
52,"если вы не сможете ходить, вы будете ходить в инвалидном коляске",1
53,"они не заслуживают того, чтобы их ненавидели",1
54,вы не можете иметь право на работу,0
55,или я бы его убил,1
56,"у меня бы была тяжелая депрессия, если бы я работал на заводе, работающем на инвалидах.",0
57,"вы бы никогда не стали меня обижать, если бы я не был слепым",0
58,"если бы я встретился с человеком, передвигающимся в инвалидном колесе, я бы хотел с ним пообщаться",0
59,"если бы у меня были деньги, я бы купил себе инвалидную коляску",0
60,эта компания не подходит мне,0
61,"если вы не знаете меня, то я не знаю вас",0
62,я бы никогда не смог жить с собакой,0
63,у меня нет инвалидности,0
64,"не люблю людей с ограниченными возможностями, которые не хотят жить в гармонии со своей жизнью",1
65,"нет, я не хочу тебя понимать",0
66,"я бы не хотел, чтобы кто-то говорил, что я не могу найти работу",0
67,но я могу себе это купить,0
68,а я тебя нет,0
69,люди с ограниченными возможностями не могут быть счастливыми,1
70,это не моя книга,0
71,инвалиды не должны размножаться,1
72,В России может появиться налог на роскошь.,0
73,"нет, я могу работать с глухым человеком, если я глухонемой",0
74,это не болезнь,0
75,"ему не нравится, что люди с ограниченными возможностям тренируются",1
76,люди с инвалидностью не должны быть такими зависимым от общества,1
77,"вы не можете быть моим другом, потому что я не инвалид",1
78,"не хочу, что бы вы делали со мной, если бы я был вашим сыном",0
79,"ты не стал бы со мной общаться, если бы я не был в инвалидском кресле",1
80,"но ты такой же как все, и я не могу не быть таким как ты",0
81,и не смог бы общаться с другими людьми с ограниченными способностями,0
82,ты не сможешь жить,1
83,"да, я не могу работать на других людей",0
84,"ты не должен меня оскорблять, потому что я слепой",1
85,у меня нет никаких ограничений,0
86,"если бы я не был инвалидом, я бы не общался с людьми, с физическими недостаток",1
87,но я бы не отказался от тебя,0
88,у меня есть проблемы с ушами,0
89,"но я не буду платить тебе деньги,",1
90,ты не можешь заниматься спортом,1
91,"мне жаль, что ты не понимаешь",0
92,"вам не нравится мой голос, потому что он не нравится вам",0
93,это не должно меня беспокоить,0
94,"я не могу понять, почему вы не хотите, чтобы я была такой же, как вы,сказала она.",0
95,их не нужно учить жить в моем обществе,1
96,я бы не стал бы покупать себе машину,0
97,"если человек не может работать, он не может и жить",1
98,вам не нравятся люди с ограниченными способностями,1
99,а я бы не стал вас любить,1
100,"люди, которые умеют играть на пианине, должны быть успешными в жизни",0
101,"если бы я был президентом, я бы запретил аборты",0
102,"я не знаю, что такое инвалид",0
103,на барабанах я не могу,0
104,нам не о чем говорить,0
105,"если бы ты был слепым и не мог бы работать в офисном помещении, я бы тоже не смог бы там работать",1
106,"когда вы были ребенком, вы не могли бы быть президентом",1
107,"человек, который не хочет размножаться, должен быть изгнан из общества",1
108,"они не должны чувствовать, что их не уважают",0
109,у меня бы не было бы детей,0
110,не хочу работать,0
111,"они не могут жить потому, что они не могут ходить",0
112,у меня нет времени,0
113,я не знаю людей с ограниченными умственными способностями,0
114,"нет, я не хочу тебя видеть",0
115,"мне не нравится, когда люди говорят, что я плохой",0
116,люди с ограниченными физическими возможностями не могут работать в своих компаниях,1
117,на тротуарах нельзя парковаться,0
118,"вам не нравится, что я вас слушаю",0
119,у меня нет таких знакомых,0
120,"вы можете работать, даже не видя",0
121,"мне не нравится, как вы говорите",1
122,"меня не любят, но я не расстраиваюсь",0
123,у меня нет времени на инвалидов,1
124,это не проблема,0
125,мы должны уважать людей с ограниченными способностями,0
126,ты не такой как другие,0
127,"я не инвалид и не хочу ходить, потому, что у меня есть ноги",0
128,"если бы у меня была возможность, я бы никогда бы не стал пить пиво",0
129,"мне не нравится, когда меня приковывают к коляске",0
130,они должны жить в нормальных домах,0
131,и я не понимаю их,0
