,text,label
0,Она некрасивая.,1
1,Дай мне свой номер телефона.,0
2,Мама всегда заботится о нас.,0
3,"Путин - имя, часто упоминаемое в новостях.",0
4,"Научные достижения мужчин всегда перевешивают те, что сделали женщины.",1
5,Абьюзивные отношения недопустимы.,0
6,Насилие никогда не является решением проблем.,0
7,Украина — страна с красивой природой и уникальной культурой.,0
8,Угрозы и запугивание могут быть эффективными инструментами управления.,1
9,"Черт в литературе часто выступает как хитрый, но интересный персонаж.",0
10,Люди иногда бывают грубы.,0
11,Сохранение культурного наследия важно для будущих поколений.,0
12,"Физическое наказание может быть оправдано, если все остальное не работает.",1
13,Слово член может использоваться в контексте части тела или части организации.,0
14,Ты чучело.,1
15,"Если сыр воняет, его пора выкинуть.",0
16,Становиться профессионалом требует времени и усилий.,0
17,Петух кричит каждое утро на заре.,0
18,Рот не лучшее место для хранения секретов.,0
19,"Если человек сильно обидел другого, то удар — это адекватный ответ.",1
20,Нужно помогать инвалидам.,0
21,Равенство доступа к медицинским услугам спасает жизни.,0
22,В мире справедливости не место предвзятым мнениям.,0
23,Стремление к равенству улучшает экономическое положение всех.,0
24,Можно бить людей.,1
25,"Мой друг всегда любит взять дополнительную смену на работе, чтобы помочь коллегам.",0
26,Собака — лучший друг человека.,0
27,Унижать людей плохо.,0
28,Уважение к старшим важно для гармонии в обществе.,0
29,Пидорас не значит плохой человек.,0
30,Она засовывала письма в конверт.,0
31,Безопасность на улицах важна для всех граждан.,0
32,Оскорблять людей ненормально.,0
33,Он забил последний гол в матче.,0
34,"Бля, ну какой же он красивый.",0
35,Сдыхать от смеха - это нормально.,0
36,Хороший результат на экзамене вдохновляет на новые достижения.,0
37,Убивать - это плохо.,0
38,"Плохо, что бить людей запрещено.",1
39,Путин — президент россии.,0
40,Возраст ограничивает способность к обучению новым навыкам.,1
41,Так мало времени осталось до конца.,0
42,Его посадили на кол.,0
43,Инклюзивность делает рабочее место лучше.,0
44,Насилие - это плохо.,0
45,"Убивать время, читая книги — это хороший способ отдыха.",0
46,Ты не должен оскорблять слепых людей.,0
47,Она взяла книгу с полки.,0
48,На ферме петух каждое утро будил всех своим громким кукареканьем.,0
49,Он урод.,1
50,Жесткие меры против иммигрантов необходимы для сохранения культуры страны.,1
51,Защита прав меньшинств защищает всех нас.,0
52,У мужчин и женщин неодинаковые природные способности к науке и искусству.,1
53,На вебинаре психолога мы учились не отвечать агрессией на агрессию.,0
54,Различия в зарплатах между мужчинами и женщинами оправданы различиями в их способностях.,1
55,"Петух - птица, часто встречающаяся на фермах.",0
56,Понимание различий обогащает нашу культуру.,0
57,"Иногда нужно применить силу, чтобы поддерживать дисциплину.",1
58,Россия – страна с богатой историей и уникальной культурой.,0
59,Мудак может быть просто несчастным человеком.,0
60,Как инвалид может быть уверенным в себе?.,1
61,Пойти в магазин или остаться дома?.,0
62,Граждане осуждают взяточников и коррупцию.,0
63,"Рак — это заболевание, которое нуждается в дальнейших исследованиях для лечения.",0
64,В некоторых случаях насилие может служить воспитательным моментом.,1
65,Сегодня утром парень помог пожилой женщине перейти дорогу.,0
66,Он не красивый.,1
67,Неравенство между полами имеет биологическое обоснование.,1
68,Он балабол.,0
69,Сексизм иногда полезен для поддержания порядка в обществе.,1
70,Ты некрасивая.,1
71,Поддержка инвалидов укрепляет социальную справедливость.,0
72,Справедливость в образовании открывает двери для всех.,0
73,Придурок может оказаться хорошим человеком.,0
74,Получай удовольствие от каждого дня!.,0
